N,iterations,execution_time
1000,100,0.025000
1000,500,0.057000
1000,1000,0.119000
5000,100,0.013000
5000,500,0.061000
5000,1000,0.136000
10000,100,0.014000
10000,500,0.072000
10000,1000,0.160000
50000,100,0.018000
50000,500,0.103000
50000,1000,0.200000
100000,100,0.023000
100000,500,0.127000
100000,1000,0.246000
