num_points,threads,pi_estimate,execution_time,precision
1000,4,3.152000,0.001000,0.010407
10000,4,3.068800,0.000000,0.072793
100000,4,3.130400,0.002000,0.011193
1000000,4,3.142592,0.014000,0.000999
10000000,4,3.139459,0.073000,0.002133
