num_points,threads,pi_estimate,execution_time,precision
1000,8,3.088000,0.000000,0.053593
10000,8,3.137600,0.000000,0.003993
100000,8,3.139360,0.001000,0.002233
1000000,8,3.139936,0.006000,0.001657
10000000,8,3.141717,0.041000,0.000124
