num_points,threads,pi_estimate,execution_time,precision
1000,16,3.296000,0.002000,0.154407
10000,16,3.112000,0.000000,0.029593
100000,16,3.128160,0.001000,0.013433
1000000,16,3.138656,0.003000,0.002937
10000000,16,3.141011,0.037000,0.000581
