N,iterations,execution_time
1000,100,0.009346
1000,500,0.019849
1000,1000,0.044093
5000,100,0.005888
5000,500,0.027383
5000,1000,0.054333
10000,100,0.007288
10000,500,0.036551
10000,1000,0.073777
50000,100,0.023454
50000,500,0.118162
50000,1000,0.235571
100000,100,0.044216
100000,500,0.219018
100000,1000,0.439120
