num_points,threads,pi_estimate,execution_time,precision
1000,4,3.180000,0.003013,0.038407
10000,4,3.140400,0.001002,0.001193
100000,4,3.131240,0.001158,0.010353
1000000,4,3.139676,0.004647,0.001917
10000000,4,3.141591,0.031090,0.000002
