num_points,threads,pi_estimate,execution_time,precision
1000,8,3.120000,0.002196,0.021593
10000,8,3.152400,0.001996,0.010807
100000,8,3.146120,0.002328,0.004527
1000000,8,3.140064,0.003697,0.001529
10000000,8,3.141344,0.021461,0.000249
