num_points,threads,pi_estimate,execution_time,precision
1000,16,3.084000,0.003158,0.057593
10000,16,3.173600,0.004031,0.032007
100000,16,3.152360,0.004381,0.010767
1000000,16,3.144364,0.004901,0.002771
10000000,16,3.141500,0.025108,0.000093
